id,text,file,node,lineNumber
line:/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn-Start-0,Yarn Spinner is a language for writing conversations in games!,/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn,Start,3
line:/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn-Start-1,"You can use it to write branching dialogue, and use that in a game engine!",/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn,Start,4
line:/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn-Start-2,"For example, here's a choice between some options!",/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn,Start,6
line:/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn-Start-3,"Wow, some options!",/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn,Start,8
line:/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn-Start-4,"You got it, pal!",/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn,Start,9
line:/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn-Start-5,Can I put text inside options?,/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn,Start,10
line:/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn-Start-6,You sure can!,/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn,Start,11
line:/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn-Start-7,"For example, here's some lines inside an option.",/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn,Start,12
line:/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn-Start-8,You can even put options inside OTHER options!,/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn,Start,13
line:/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn-Start-9,Like this!,/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn,Start,14
line:/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn-Start-10,Wow!,/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn,Start,15
line:/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn-Start-11,Or this!,/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn,Start,16
line:/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn-Start-12,Incredible!,/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn,Start,17
line:/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn-Start-13,"Wow, some options can be made unavailable!",/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn,Start,18
line:/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn-Start-14,"You can also write 'commands', which represent things that happen in the game!",/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn,Start,23
line:/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn-Start-15,"In this editor, they'll appear as text:",/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn,Start,25
line:/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn-Start-16,Nice!,/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn,Start,29
line:/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn-Start-17,Right??,/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn,Start,30
line:/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn-Start-18,But it didn't actually fade!,/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn,Start,31
line:/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn-Start-19,"That's because this page doesn't know about 'fading', or any other feature.",/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn,Start,32
line:/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn-Start-20,"When you're testing your script on this page, we'll just show you your commands as text.",/Users/desplesda/Work/YarnSpinner-TypeScript/demo/Demo.yarn,Start,33
