id,text,file,node,lineNumber
line:123725bb,Mae: ¯\_(ツ)_/¯,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,6
line:840722cc,Mae: <o>,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,7
line:3e562b55,Mae: :|,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,8
line:a8662c22,Mae: :),/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,9
line:0bf348bc,Mae: :(,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,10
line:9dc34fcb,Mae: :o,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,11
line:27924652,Mae: :\,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,12
line:b1a24125,Mae: :<,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,13
line:20bffeb5,Mae: D:,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,14
line:b68ff9c2,Mae: -_-,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,15
line:1fbac21e,Mae: =_=,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,16
line:898ac569,Mae: U_U,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,17
line:33dbccf0,Mae: O_O,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,18
line:a5ebcb87,Mae: o_o,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,19
line:067eaf19,Mae: \o/,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,20
line:904ea86e,Mae: /o\,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,21
line:2a1fa1f7,Mae: o/,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,22
line:bc2fa680,Mae: _o_,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,23
line:2d321910,Mae: o>,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,24
line:bb021e67,Mae: / \,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,25
line:dce9ef35,Mae: \ /,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,26
line:4ad9e842,Mae: ~~,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,27
line:f088e1db,Mae: ¯\_(ツ)_/¯,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,33
line:66b8e6ac,Mae: <o>,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,34
line:c52d8232,Mae: :|,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,35
line:531d8545,Mae: :),/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,36
line:e94c8cdc,Mae: :(,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,37
line:7f7c8bab,Mae: :o,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,38
line:ee61343b,Mae: :\,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,39
line:7851334c,Mae: :<,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,40
line:9dd8f42c,Mae: D:,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,41
line:0be8f35b,Mae: -_-,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,42
line:b1b9fac2,Mae: =_=,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,43
line:2789fdb5,Mae: U_U,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,44
line:841c992b,Mae: O_O,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,45
line:122c9e5c,Mae: o_o,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,46
line:a87d97c5,Mae: \o/,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,47
line:3e4d90b2,Mae: /o\,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,48
line:af502f22,Mae: o/,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,49
line:39602855,Mae: _o_,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,50
line:5a4eb563,Mae: o>,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,51
line:cc7eb214,Mae: / \,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,52
line:762fbb8d,Mae: \ /,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,53
line:e01fbcfa,Mae: ~~,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,54
line:438ad864,Separating the option groups here.,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,56
line:d5badf13,Mae: ¯\_(ツ)_/¯,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,61
line:6febd68a,Mae: <o>,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,62
line:f9dbd1fd,Mae: :|,/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,63
line:68c66e6d,Mae: :),/Users/desplesda/Work/YarnSpinner/Tests/TestCases/Smileys.yarn,Start,64
