id,text,file,node,lineNumber
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn-Start-0,Here's a line with a hashtag,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn,Start,3
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn-Start-1,Here's a line with an escaped hashtag #hashtag,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn,Start,4
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn-Start-2,Here's a line with an expression {0},/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn,Start,6
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn-Start-3,Here's a line with an escaped expression {0},/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn,Start,7
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn-Start-4,Here's a line with an escaped command <<foo>>,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn,Start,12
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn-Start-5,Here's a line with a comment,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn,Start,14
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn-Start-6,Here's a line with an escaped comment // wow,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn,Start,15
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn-Start-7,Here's a line with an escaped backslash \,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn,Start,17
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn-Start-8,Here's some TMP-style styling with a color code: <color=#fff>wow</color>,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn,Start,19
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn-Start-9,Here's a url: http://github.com/YarnSpinnerTool,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn,Start,21
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn-Start-10,Here's some markup: [a]hello[/a],/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn,Start,25
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn-Start-11,Here's some escaped markup: \[a\]hello\[/a\],/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn,Start,26
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn-Start-12,Here's an option with a hashtag,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn,Start,28
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn-Start-13,Here's an option with an escaped hashtag #hashtag,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn,Start,29
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn-Start-14,Here's an option with an expression {0},/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn,Start,31
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn-Start-15,Here's an option with an escaped expression {0},/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn,Start,32
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn-Start-16,Here's an option with a condition,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn,Start,36
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn-Start-17,Here's an option with an escaped condition <<if true>>,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/Escaping.yarn,Start,37
