id,text,file,node,lineNumber
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-0,Option 1,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,10
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-1,This line should appear.,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,12
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-2,Sub Option 1,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,13
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-3,This line should also appear.,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,15
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-4,Sub Option 2,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,17
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-5,Sub Option 3,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,18
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-6,Option 2,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,19
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-7,This line should not appear.,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,20
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-8,Option 3,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,21
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-9,This line should not appear.,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,22
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-10,Bea: line text,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,26
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-11,option1,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,27
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-12,option2,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,28
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-13,Bea: line text2,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,29
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-14,Bea: indented line text,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,32
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-15,indented option1,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,33
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-16,indented option2,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,34
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-17,Bea: indented line text2,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,35
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-18,Bea: line text,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,38
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-19,indented option1 following unindented line,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,39
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-20,indented option2 following unindented line,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,40
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-21,option2.1,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,41
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-22,option2.2,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,42
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-23,option2.3,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,43
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-24,option2.4,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,44
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-25,A,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,47
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-26,B,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,48
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-27,(Break up the options),/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,50
line:0e8a7ce,Option A,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,55
line:0405c66,Option B,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,56
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-30,(Break up the options),/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,58
line:0e8a7cd,Option A,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,61
line:0405c67,Option B,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,62
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-33,(Break up the options),/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,64
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-34,Option1,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,68
line:/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn-Start-35,Option2,/Users/McJones/Development/ysc/src/YarnSpinner.Console/bin/Debug/netcoreapp3.1/ShortcutOptions.yarn,Start,70
